day,hour,1015,1016,1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043,1044,1045,1046,1047,1048,1049,1050,1051,1052,1053
1,7,Trabaja,,,,,,Trabaja,,,,Trabaja,,,,,,,,,,,,,,,,,Trabaja,Trabaja,Trabaja,Trabaja,Trabaja,Trabaja,,,Trabaja,,,
1,8,Trabaja,,,,,,,,,,Trabaja,,,,,Trabaja,,,,,,,,,,,,Trabaja,,,,,Trabaja,,,Trabaja,,,
1,9,Trabaja,,,,,,Trabaja,,Trabaja,,,,Trabaja,,,,,,,,,,,,,,,Trabaja,Trabaja,Trabaja,Trabaja,Trabaja,Trabaja,Trabaja,,Trabaja,,,
1,10,Almuerza,Almuerza,Almuerza,Almuerza,,,Trabaja,Trabaja,,,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,,,,,,,,,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,,,
1,11,Trabaja,,,,,,,,,,,Trabaja,,,,,,,,,,,,,,,,,Trabaja,Trabaja,Trabaja,,,,,,,,
1,12,,,,,,,Trabaja,Trabaja,Trabaja,,,,,,,,,,,,,,,,,,,,Trabaja,Trabaja,Trabaja,Trabaja,Trabaja,Trabaja,Trabaja,Trabaja,Trabaja,,
1,13,Trabaja,,,,,,,,Trabaja,,,,,,,,,,,,,,,,,,,,Trabaja,Trabaja,Trabaja,Trabaja,Trabaja,Trabaja,,,,,
1,14,Trabaja,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trabaja,Trabaja,,,,,Trabaja,,,,
1,15,,,,,,,Trabaja,Trabaja,,Trabaja,,,,,,,,,,,,,,,,,,,Trabaja,Trabaja,Trabaja,Trabaja,Trabaja,Trabaja,Trabaja,,,,
1,16,Trabaja,,,,,,,,Trabaja,,,,,,,,,,,,,,,,,,,,Trabaja,Trabaja,Trabaja,Trabaja,Trabaja,,,Trabaja,,,
1,17,Trabaja,,,,,,,,,Trabaja,,,,,,,Trabaja,,,,,,,,,,,,Trabaja,Trabaja,,,Trabaja,,,Trabaja,,,
1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,Trabaja,,,Trabaja,,,,Trabaja,,,,Trabaja,,,,,,Trabaja,,,,,,,,,,Trabaja,,Trabaja,Trabaja,,,Trabaja,,,Trabaja,,
2,8,Trabaja,,,Trabaja,,,,,,,,Trabaja,,,,,Trabaja,,,,,,,,,,,Trabaja,,,,,,,,,Trabaja,,
2,9,Trabaja,,,Trabaja,,,Trabaja,,Trabaja,,,,,Trabaja,,,,,,Trabaja,,,,,,,,Trabaja,Trabaja,Trabaja,Trabaja,,,Trabaja,,,Trabaja,,
2,10,Almuerza,Almuerza,Almuerza,Almuerza,,,Trabaja,,,Trabaja,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,,,,,,,,Trabaja,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,,,
2,11,Trabaja,,,,Trabaja,,,,,,,,,,,Trabaja,,,,,,,,,,,,Trabaja,,,,,,,,,Trabaja,,
2,12,Trabaja,,,,,,Trabaja,Trabaja,,,,Trabaja,,,,,,,,,,,,,,,,Trabaja,Trabaja,Trabaja,Trabaja,Trabaja,Trabaja,Trabaja,,,Trabaja,,
